PATCH PARAMETERS SORTED BY NRPN PARAMETER NUMBER

Do they appear in this order in the sysex?

macro1depth1	0x36 0x30
macro1depth2	0x36 0x31
macro1depth3	0x36 0x32
macro1depth4	0x36 0x33
macro1depth5	0x36 0x34
macro1depth6	0x36 0x35
macro1depth7	0x36 0x36
macro1depth8	0x36 0x37
macro2depth1	0x36 0x38
macro2depth2	0x36 0x39
macro2depth3	0x36 0x3A
macro2depth4	0x36 0x3B
macro2depth5	0x36 0x3C
macro2depth6	0x36 0x3D
macro2depth7	0x36 0x3E
macro2depth8	0x36 0x3F
macro3depth1	0x36 0x40
macro3depth2	0x36 0x41
macro3depth3	0x36 0x42
macro3depth4	0x36 0x43
macro3depth5	0x36 0x44
macro3depth6	0x36 0x45
macro3depth7	0x36 0x46
macro3depth8	0x36 0x47
macro4depth1	0x36 0x48
macro4depth2	0x36 0x49
macro4depth3	0x36 0x4A
macro4depth4	0x36 0x4B
macro4depth5	0x36 0x4C
macro4depth6	0x36 0x4D
macro4depth7	0x36 0x4E
macro4depth8	0x36 0x4F
macro5depth1	0x36 0x50
macro5depth2	0x36 0x51
macro5depth3	0x36 0x52
macro5depth4	0x36 0x53
macro5depth5	0x36 0x54
macro5depth6	0x36 0x55
macro5depth7	0x36 0x56
macro5depth8	0x36 0x57
macro6depth1	0x36 0x58
macro6depth2	0x36 0x59
macro6depth3	0x36 0x5A
macro6depth4	0x36 0x5B
macro6depth5	0x36 0x5C
macro6depth6	0x36 0x5D
macro6depth7	0x36 0x5E
macro6depth8	0x36 0x5F
macro7depth1	0x36 0x60
macro7depth2	0x36 0x61
macro7depth3	0x36 0x62
macro7depth4	0x36 0x63
macro7depth5	0x36 0x64
macro7depth6	0x36 0x65
macro7depth7	0x36 0x66
macro7depth8	0x36 0x67
macro8depth1	0x36 0x68
macro8depth2	0x36 0x69
macro8depth3	0x36 0x6A
macro8depth4	0x36 0x6B
macro8depth5	0x36 0x6C
macro8depth6	0x36 0x6D
macro8depth7	0x36 0x6E
macro8depth8	0x36 0x6F
arpdivision	0x39 0x03
arpswing	0x39 0x03
arpgate	0x39 0x03
arpoctmode	0x39 0x03
arpoctave	0x39 0x03
arpmode	0x39 0x03
arplength	0x39 0x03
arptaptrig	0x39 0x03
arpphrase	0x39 0x03
arpratchet	0x39 0x03
arpchance	0x39 0x03
